iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
-1601812350,8.1,16.1314,-13.6005,6.31467,1.58861,-1.46868,-1.9658,-1.36316,0.740564,-1.3551
-1601812349,8.2,16.2834,-13.7436,6.11138,1.45079,-1.39486,-2.0994,-1.39287,0.735456,-1.31615
-1601812348,8.3,16.4215,-13.8795,5.89493,1.31012,-1.32165,-2.22892,-1.42015,0.728327,-1.2738
-1601812347,8.4,16.5454,-14.008,5.66574,1.16684,-1.24926,-2.35405,-1.44499,0.719255,-1.22819
-1601812346,8.5,16.6548,-14.1293,5.42428,1.0212,-1.17787,-2.47446,-1.46735,0.708319,-1.17948
-1601812345,8.6,16.7495,-14.2436,5.17102,0.873451,-1.10766,-2.58985,-1.48723,0.695605,-1.12785
-1601812344,8.7,16.8294,-14.3509,4.90649,0.723838,-1.0388,-2.69993,-1.50462,0.681202,-1.07347
-1601812343,8.8,16.8942,-14.4514,4.63122,0.572611,-0.971468,-2.80445,-1.5195,0.665202,-1.01653
-1601812342,8.9,16.9439,-14.5453,4.34579,0.420022,-0.905811,-2.90316,-1.53187,0.647702,-0.957205
-1601812341,9,16.9782,-14.6326,4.05079,0.26632,-0.841974,-2.99582,-1.54175,0.628799,-0.895689
-1601812340,9.1,16.9971,-14.7137,3.74683,0.111756,-0.780094,-3.08223,-1.54913,0.608595,-0.832176
-1601812339,9.2,17.0005,-14.7887,3.43456,-0.0434222,-0.720295,-3.1622,-1.55402,0.587194,-0.766862
-1601812338,9.3,16.9884,-14.8579,3.11461,-0.198966,-0.662692,-3.23555,-1.55644,0.5647,-0.699948
-1601812337,9.4,16.9607,-14.9214,2.78767,-0.354628,-0.607388,-3.30214,-1.55641,0.541221,-0.631634
-1601812336,9.5,16.9175,-14.9794,2.45441,-0.510166,-0.554477,-3.36184,-1.55394,0.516863,-0.562122
-1601812335,9.6,16.8587,-15.0323,2.11554,-0.665336,-0.504041,-3.41453,-1.54906,0.491736,-0.491616
-1601812334,9.7,16.7845,-15.0803,1.77174,-0.819899,-0.456152,-3.46013,-1.54181,0.465948,-0.420317
-1601812333,9.8,16.6948,-15.1236,1.42375,-0.973619,-0.41087,-3.49858,-1.5322,0.439607,-0.348429
-1601812332,9.9,16.5898,-15.1626,1.07227,-1.12626,-0.368245,-3.52981,-1.52028,0.412823,-0.276152
-1601812331,10,16.4696,-15.1974,0.718029,-1.2776,-0.328316,-3.5538,-1.50608,0.385703,-0.203687
-1601812330,10.1,16.3343,-15.2283,0.361751,-1.4274,-0.291112,-3.57054,-1.48964,0.358354,-0.131229
-1601812329,10.2,16.1841,-15.2557,0.00416116,-1.57545,-0.25665,-3.58005,-1.47101,0.33088,-0.0589742
-1601812328,10.3,16.0193,-15.2798,-0.354019,-1.72153,-0.224937,-3.58235,-1.45023,0.303386,0.0128882
-1601812327,10.4,15.8399,-15.3008,-0.712071,-1.86543,-0.19597,-3.57749,-1.42735,0.275973,0.0841712
-1601812326,10.5,15.6463,-15.319,-1.06928,-2.00693,-0.169736,-3.56554,-1.40242,0.248739,0.154693
-1601812325,10.6,15.4386,-15.3348,-1.42495,-2.14585,-0.146213,-3.54659,-1.3755,0.22178,0.224278
-1601812324,10.7,15.2172,-15.3484,-1.77837,-2.28197,-0.125368,-3.52073,-1.34664,0.19519,0.292755
-1601812323,10.8,14.9823,-15.36,-2.12886,-2.41511,-0.10716,-3.48808,-1.31589,0.169056,0.35996
-1601812322,10.9,14.7343,-15.3699,-2.47576,-2.54509,-0.0915386,-3.44878,-1.28333,0.143465,0.425736
-1601812321,11,14.4734,-15.3784,-2.8184,-2.67172,-0.078446,-3.40298,-1.249,0.118497,0.489935
-1601812320,11.1,14.2001,-15.3857,-3.15615,-2.79483,-0.0678158,-3.35085,-1.21298,0.094229,0.552415
-1601812319,11.2,13.9146,-15.392,-3.48837,-2.91426,-0.0595745,-3.29256,-1.17533,0.0707313,0.613045
-1601812318,11.3,13.6173,-15.3977,-3.81446,-3.02985,-0.0536416,-3.22831,-1.13612,0.0480704,0.671702
-1601812317,11.4,13.3087,-15.4028,-4.13384,-3.14144,-0.0499305,-3.15829,-1.09541,0.0263072,0.728271
-1601812316,11.5,12.9892,-15.4077,-4.44594,-3.24888,-0.0483484,-3.08273,-1.05328,0.00549755,0.782649
-1601812315,11.6,12.6591,-15.4126,-4.75021,-3.35205,-0.0487975,-3.00184,-1.0098,-0.0143074,0.834739
-1601812314,11.7,12.3189,-15.4175,-5.04613,-3.4508,-0.0511748,-2.91586,-0.965036,-0.0330613,0.884454
-1601812313,11.8,11.9691,-15.4228,-5.33322,-3.54501,-0.0553733,-2.82503,-0.919068,-0.0507227,0.931713
-1601812312,11.9,11.6101,-15.4287,-5.61099,-3.63458,-0.0612817,-2.7296,-0.871971,-0.0672545,0.976447
-1601812311,12,11.2423,-15.4352,-5.87899,-3.71937,-0.0687855,-2.62983,-0.823821,-0.0826241,1.01859
-1601812310,12.1,10.8664,-15.4425,-6.13681,-3.79931,-0.0777669,-2.52597,-0.774695,-0.0968033,1.05809
-1601812309,12.2,10.4826,-15.4508,-6.38406,-3.87428,-0.0881056,-2.4183,-0.724671,-0.109768,1.0949
-1601812308,12.3,10.0917,-15.4601,-6.62036,-3.94421,-0.0996793,-2.30708,-0.673829,-0.121498,1.12897
-1601812307,12.4,9.69396,-15.4707,-6.84537,-4.00902,-0.112364,-2.1926,-0.622247,-0.131979,1.16028
-1601812306,12.5,9.29004,-15.4826,-7.05878,-4.06864,-0.126033,-2.07512,-0.570007,-0.141197,1.18879
-1601812305,12.6,8.88041,-15.496,-7.2603,-4.12301,-0.140561,-1.95493,-0.517189,-0.149145,1.21449
-1601812304,12.7,8.46561,-15.5108,-7.44968,-4.17206,-0.155819,-1.83231,-0.463874,-0.155818,1.23737
-1601812303,12.8,8.04618,-15.5271,-7.62669,-4.21577,-0.171682,-1.70755,-0.410145,-0.161215,1.25742
-1601812302,12.9,7.62264,-15.5451,-7.79113,-4.25408,-0.18802,-1.58092,-0.356082,-0.16534,1.27463
-1601812301,13,7.19554,-15.5648,-7.94282,-4.28697,-0.204707,-1.45272,-0.301769,-0.168197,1.28902
