seq,frame_id,stamp,position_x,position_y,position_z,yaw,yaw_rate,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_ztype_mask
0,,1657663437.776520904,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663437.802399626,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663437.826611168,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663437.851546037,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663437.876555252,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663437.901564883,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663437.927728151,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663437.951587663,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663437.976555146,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.001555448,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.026562705,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.052243943,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.076726357,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.101544395,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.126552399,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.151554986,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.176610763,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.201572711,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.226547380,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.251552219,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.276555306,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663438.301593310,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
