iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
103,1.02,0.741753,-0.0123956,0,1.04816,-0.0753135,0,-1.83514,-0.0691092,0
104,1.03,0.752142,-0.0131519,0,1.02955,-0.0759353,0,-1.88705,-0.0551549,0
105,1.04,0.762342,-0.0139138,0,1.01043,-0.0764148,0,-1.93589,-0.0406628,0
106,1.05,0.772349,-0.0146797,0,0.990837,-0.0767468,0,-1.98165,-0.0256468,0
107,1.06,0.782157,-0.0154482,0,0.970805,-0.0769261,0,-2.02432,-0.0101215,0
108,1.07,0.791763,-0.0162177,0,0.950361,-0.0769476,0,-2.06388,0.00589768,0
109,1.08,0.801163,-0.0169866,0,0.929538,-0.0768065,0,-2.10035,0.0223945,0
110,1.09,0.810353,-0.0177533,0,0.908365,-0.0764982,0,-2.13371,0.0393523,0
111,1.1,0.819329,-0.018516,0,0.886874,-0.076018,0,-2.16398,0.0567535,0
112,1.11,0.82809,-0.0192731,0,0.865096,-0.0753617,0,-2.19117,0.07458,0
113,1.12,0.83663,-0.0200226,0,0.843061,-0.074525,0,-2.21529,0.0928132,0
114,1.13,0.84495,-0.0207629,0,0.8208,-0.0735041,0,-2.23638,0.111434,0
115,1.14,0.853046,-0.0214921,0,0.798343,-0.0722951,0,-2.25444,0.130422,0
116,1.15,0.860916,-0.0222082,0,0.775721,-0.0708945,0,-2.26951,0.149758,0
117,1.16,0.86856,-0.0229093,0,0.752963,-0.0692989,0,-2.28163,0.16942,0
118,1.17,0.875975,-0.0235935,0,0.730098,-0.0675051,0,-2.29082,0.189387,0
119,1.18,0.883162,-0.0242588,0,0.707156,-0.0655102,0,-2.29713,0.209638,0
120,1.19,0.890118,-0.024903,0,0.684165,-0.0633115,0,-2.30061,0.230151,0
121,1.2,0.896845,-0.0255243,0,0.661153,-0.0609064,0,-2.30129,0.250902,0
122,1.21,0.903341,-0.0261205,0,0.638149,-0.0582927,0,-2.29922,0.271871,0
123,1.22,0.909608,-0.0266895,0,0.615178,-0.0554683,0,-2.29447,0.293032,0
124,1.23,0.915645,-0.0272291,0,0.592268,-0.0524315,0,-2.28708,0.314364,0
125,1.24,0.921453,-0.0277374,0,0.569445,-0.0491806,0,-2.27712,0.335842,0
126,1.25,0.927034,-0.028212,0,0.546734,-0.0457142,0,-2.26464,0.357443,0
127,1.26,0.932389,-0.0286509,0,0.52416,-0.0420314,0,-2.24971,0.379142,0
128,1.27,0.937518,-0.0290519,0,0.501748,-0.0381311,0,-2.2324,0.400916,0
