iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
76,0.75,0.0896943,0.142672,0.0356681,0.367988,0.613959,0.15349,0.832662,1.59161,0.397902
77,0.76,0.0934158,0.148892,0.0372229,0.376291,0.629899,0.157475,0.82769,1.59623,0.399058
78,0.77,0.09722,0.155271,0.0388176,0.38454,0.64588,0.16147,0.822027,1.59996,0.39999
79,0.78,0.101106,0.161809,0.0404523,0.392729,0.661895,0.165474,0.815679,1.6028,0.400699
80,0.79,0.105074,0.168509,0.0421271,0.400851,0.677933,0.169483,0.808649,1.60474,0.401184
81,0.8,0.109123,0.175368,0.043842,0.4089,0.693987,0.173497,0.800943,1.60579,0.401446
82,0.81,0.113252,0.182388,0.0455971,0.416868,0.710046,0.177511,0.792566,1.60594,0.401486
83,0.82,0.11746,0.189569,0.0473923,0.424749,0.726102,0.181526,0.783525,1.60521,0.401303
84,0.83,0.121747,0.19691,0.0492276,0.432536,0.742147,0.185537,0.773826,1.6036,0.400899
85,0.84,0.126111,0.204412,0.051103,0.440223,0.758171,0.189543,0.763477,1.6011,0.400274
86,0.85,0.130551,0.212074,0.0530184,0.447803,0.774166,0.193542,0.752485,1.59772,0.399431
87,0.86,0.135066,0.219895,0.0549738,0.455271,0.790123,0.197531,0.740858,1.59348,0.39837
88,0.87,0.139656,0.227876,0.056969,0.462618,0.806033,0.201508,0.728606,1.58837,0.397092
89,0.88,0.144318,0.236016,0.0590039,0.469841,0.821887,0.205472,0.715736,1.5824,0.395599
90,0.89,0.149052,0.244313,0.0610784,0.476931,0.837678,0.20942,0.702258,1.57557,0.393894
91,0.9,0.153856,0.252769,0.0631922,0.483884,0.853396,0.213349,0.688183,1.56791,0.391977
92,0.91,0.158729,0.261381,0.0653453,0.490693,0.869033,0.217258,0.67352,1.5594,0.389851
93,0.92,0.16367,0.270149,0.0675373,0.497352,0.884581,0.221145,0.65828,1.55007,0.387517
94,0.93,0.168676,0.279072,0.0697681,0.503857,0.900032,0.225008,0.642475,1.53992,0.384979
95,0.94,0.173746,0.28815,0.0720374,0.5102,0.915377,0.228844,0.626115,1.52895,0.382238
96,0.95,0.178879,0.29738,0.0743449,0.516377,0.930608,0.232652,0.609212,1.51719,0.379297
97,0.96,0.184073,0.306761,0.0766903,0.522382,0.945718,0.23643,0.591779,1.50463,0.376158
98,0.97,0.189326,0.316293,0.0790734,0.528211,0.960699,0.240175,0.573827,1.4913,0.372825
99,0.98,0.194637,0.325975,0.0814937,0.533857,0.975542,0.243885,0.55537,1.4772,0.3693
100,0.99,0.200003,0.335804,0.083951,0.539317,0.99024,0.24756,0.53642,1.46234,0.365586
101,1,0.205423,0.345779,0.0864448,0.544584,1.00479,0.251197,0.516991,1.44674,0.361685
102,1.01,0.210894,0.355899,0.0889748,0.549655,1.01917,0.254793,0.497097,1.43041,0.357602
103,1.02,0.216415,0.366162,0.0915405,0.554524,1.03339,0.258348,0.476751,1.41336,0.353339
104,1.03,0.221984,0.376566,0.0941416,0.559188,1.04744,0.261859,0.455967,1.3956,0.3489
105,1.04,0.227598,0.38711,0.0967775,0.563642,1.0613,0.265325,0.43476,1.37715,0.344287
106,1.05,0.233256,0.397792,0.0994479,0.567882,1.07498,0.268744,0.413144,1.35802,0.339505
107,1.06,0.238955,0.408609,0.102152,0.571904,1.08846,0.272115,0.391135,1.33823,0.334557
108,1.07,0.244693,0.41956,0.10489,0.575704,1.10174,0.275435,0.368747,1.31779,0.329447
109,1.08,0.250468,0.430643,0.107661,0.579278,1.11481,0.278703,0.345995,1.29671,0.324178
110,1.09,0.256278,0.441856,0.110464,0.582622,1.12767,0.281918,0.322896,1.27502,0.318754
111,1.1,0.26212,0.453196,0.113299,0.585735,1.14031,0.285078,0.299463,1.25272,0.31318
112,1.11,0.267992,0.464661,0.116165,0.588611,1.15272,0.288181,0.275714,1.22983,0.307458
113,1.12,0.273891,0.47625,0.119062,0.591248,1.16491,0.291227,0.251663,1.20637,0.301593
114,1.13,0.279816,0.487959,0.12199,0.593643,1.17685,0.294213,0.227328,1.18236,0.295589
115,1.14,0.285763,0.499786,0.124946,0.595793,1.18855,0.297138,0.202724,1.1578,0.28945
116,1.15,0.291731,0.511729,0.127932,0.597697,1.2,0.300001,0.177867,1.13272,0.28318
117,1.16,0.297717,0.523785,0.130946,0.59935,1.2112,0.302801,0.152773,1.10713,0.276783
118,1.17,0.303717,0.535952,0.133988,0.600751,1.22215,0.305536,0.12746,1.08106,0.270264
119,1.18,0.309731,0.548227,0.137057,0.601898,1.23282,0.308206,0.101943,1.05451,0.263627
120,1.19,0.315754,0.560608,0.140152,0.60279,1.24323,0.310809,0.076239,1.0275,0.256875
121,1.2,0.321786,0.573091,0.143273,0.603423,1.25337,0.313343,0.0503648,1.00006,0.250015
122,1.21,0.327822,0.585674,0.146419,0.603796,1.26323,0.315809,0.0243367,0.972193,0.243048
123,1.22,0.333861,0.598355,0.149589,0.603909,1.27282,0.318204,-0.00182845,0.943925,0.235981
124,1.23,0.339899,0.611129,0.152782,0.603759,1.28211,0.320528,-0.0281141,0.915271,0.228818
125,1.24,0.345935,0.623996,0.155999,0.603346,1.29112,0.32278,-0.0545037,0.886249,0.221562
126,1.25,0.351965,0.636951,0.159238,0.602669,1.29984,0.324959,-0.0809805,0.856877,0.214219
127,1.26,0.357988,0.649992,0.162498,0.601727,1.30826,0.327064,-0.107528,0.827172,0.206793
128,1.27,0.363999,0.663115,0.165779,0.600518,1.31638,0.329094,-0.134129,0.797152,0.199288
129,1.28,0.369997,0.676318,0.16908,0.599044,1.3242,0.331049,-0.160769,0.766835,0.191709
130,1.29,0.375979,0.689598,0.172399,0.597303,1.33171,0.332928,-0.187429,0.736239,0.18406
131,1.3,0.381942,0.702951,0.175738,0.595295,1.33892,0.33473,-0.214094,0.705382,0.176345
132,1.31,0.387884,0.716375,0.179094,0.593021,1.34582,0.336455,-0.240747,0.674282,0.16857
133,1.32,0.393802,0.729867,0.182467,0.59048,1.35241,0.338102,-0.267373,0.642956,0.160739
134,1.33,0.399693,0.743422,0.185856,0.587674,1.35868,0.33967,-0.293955,0.611422,0.152855
135,1.34,0.405554,0.757039,0.18926,0.584601,1.36463,0.341159,-0.320478,0.579698,0.144924
136,1.35,0.411384,0.770714,0.192679,0.581264,1.37027,0.342568,-0.346925,0.547802,0.13695
137,1.36,0.417179,0.784444,0.196111,0.577663,1.37559,0.343897,-0.37328,0.51575,0.128938
138,1.37,0.422936,0.798225,0.199556,0.573799,1.38059,0.345147,-0.39953,0.483561,0.12089
139,1.38,0.428654,0.812054,0.203014,0.569673,1.38526,0.346315,-0.425657,0.451252,0.112813
140,1.39,0.434329,0.825929,0.206482,0.565286,1.38961,0.347403,-0.451647,0.41884,0.10471
141,1.4,0.439959,0.839845,0.209961,0.560641,1.39364,0.348409,-0.477485,0.386341,0.0965853
142,1.41,0.445541,0.853801,0.21345,0.555737,1.39734,0.349334,-0.503157,0.353774,0.0884434
143,1.42,0.451073,0.867791,0.216948,0.550578,1.40071,0.350178,-0.528647,0.321154,0.0802884
144,1.43,0.456551,0.881814,0.220453,0.545165,1.40376,0.35094,-0.553942,0.288497,0.0721243
145,1.44,0.461975,0.895865,0.223966,0.5395,1.40648,0.351621,-0.579027,0.255821,0.0639554
146,1.45,0.467341,0.909942,0.227486,0.533585,1.40888,0.352219,-0.603889,0.223142,0.0557855
147,1.46,0.472646,0.924042,0.23101,0.527423,1.41095,0.352736,-0.628515,0.190475,0.0476186
148,1.47,0.477888,0.93816,0.23454,0.521016,1.41269,0.353172,-0.65289,0.157835,0.0394588
149,1.48,0.483065,0.952294,0.238074,0.514366,1.4141,0.353526,-0.677003,0.125239,0.0313097
150,1.49,0.488175,0.966441,0.24161,0.507477,1.41519,0.353798,-0.70084,0.0927006,0.0231752
151,1.5,0.493214,0.980597,0.245149,0.50035,1.41596,0.353989,-0.72439,0.0602357,0.0150589
152,1.51,0.498181,0.994759,0.24869,0.49299,1.4164,0.354099,-0.74764,0.0278583,0.00696458
153,1.52,0.503073,1.00892,0.252231,0.485398,1.41651,0.354128,-0.770579,-0.00441723,-0.00110431
154,1.53,0.507888,1.02309,0.255772,0.477579,1.41631,0.354077,-0.793196,-0.0365771,-0.00914427
155,1.54,0.512624,1.03725,0.259312,0.469536,1.41578,0.353946,-0.815479,-0.0686077,-0.0171519
156,1.55,0.517278,1.0514,0.262851,0.461271,1.41494,0.353734,-0.837418,-0.100496,-0.025124
157,1.56,0.521849,1.06555,0.266387,0.452788,1.41377,0.353443,-0.859004,-0.132229,-0.0330572
158,1.57,0.526333,1.07968,0.269919,0.444092,1.41229,0.353073,-0.880226,-0.163794,-0.0409484
159,1.58,0.53073,1.09379,0.273448,0.435185,1.4105,0.352625,-0.901075,-0.195178,-0.0487946
160,1.59,0.535036,1.10789,0.276972,0.426072,1.40839,0.352098,-0.921541,-0.226371,-0.0565927
161,1.6,0.539251,1.12196,0.28049,0.416756,1.40597,0.351493,-0.941616,-0.25736,-0.0643399
162,1.61,0.543371,1.136,0.284001,0.407241,1.40324,0.350811,-0.961292,-0.288133,-0.0720333
163,1.62,0.547395,1.15002,0.287506,0.397531,1.40021,0.350052,-0.98056,-0.318681,-0.0796702
164,1.63,0.551321,1.16401,0.291002,0.387631,1.39687,0.349218,-0.999413,-0.348991,-0.0872479
165,1.64,0.555147,1.17796,0.29449,0.377544,1.39323,0.348308,-1.01784,-0.379055,-0.0947637
166,1.65,0.558871,1.19187,0.297968,0.367276,1.38929,0.347323,-1.03584,-0.408861,-0.102215
167,1.66,0.562492,1.20574,0.301436,0.356829,1.38505,0.346264,-1.05341,-0.438399,-0.1096
168,1.67,0.566007,1.21957,0.304893,0.346209,1.38052,0.345131,-1.07053,-0.467661,-0.116915
169,1.68,0.569415,1.23335,0.308338,0.33542,1.3757,0.343925,-1.0872,-0.496637,-0.124159
170,1.69,0.572715,1.24708,0.311771,0.324466,1.37059,0.342648,-1.10341,-0.525318,-0.13133
171,1.7,0.575904,1.26076,0.315191,0.313353,1.3652,0.341299,-1.11917,-0.553696,-0.138424
172,1.71,0.578981,1.27439,0.318597,0.302085,1.35952,0.33988,-1.13445,-0.581761,-0.14544
173,1.72,0.581945,1.28795,0.321988,0.290666,1.35356,0.338391,-1.14927,-0.609506,-0.152377
174,1.73,0.584794,1.30146,0.325364,0.279101,1.34733,0.336832,-1.16361,-0.636923,-0.159231
175,1.74,0.587527,1.3149,0.328725,0.267395,1.34082,0.335206,-1.17747,-0.664005,-0.166001
176,1.75,0.590142,1.32827,0.332068,0.255553,1.33405,0.333513,-1.19085,-0.690744,-0.172686
177,1.76,0.592637,1.34158,0.335395,0.24358,1.32701,0.331753,-1.20374,-0.717133,-0.179283
178,1.77,0.595013,1.35481,0.338703,0.23148,1.31971,0.329927,-1.21614,-0.743165,-0.185791
179,1.78,0.597267,1.36797,0.341993,0.219259,1.31215,0.328037,-1.22804,-0.768834,-0.192209
180,1.79,0.599398,1.38105,0.345264,0.206921,1.30433,0.326083,-1.23945,-0.794134,-0.198533
181,1.8,0.601405,1.39406,0.348515,0.194471,1.29627,0.324067,-1.25035,-0.819058,-0.204765
182,1.81,0.603287,1.40698,0.351745,0.181915,1.28795,0.321989,-1.26075,-0.843602,-0.2109
183,1.82,0.605043,1.41982,0.354954,0.169258,1.2794,0.319849,-1.27065,-0.867759,-0.21694
184,1.83,0.606672,1.43257,0.358142,0.156504,1.2706,0.31765,-1.28004,-0.891524,-0.222881
185,1.84,0.608172,1.44523,0.361307,0.143659,1.26157,0.315392,-1.28892,-0.914892,-0.228723
186,1.85,0.609544,1.4578,0.364449,0.130727,1.2523,0.313076,-1.2973,-0.937858,-0.234465
187,1.86,0.610787,1.47027,0.367568,0.117715,1.24281,0.310703,-1.30516,-0.960419,-0.240105
188,1.87,0.611898,1.48265,0.370663,0.104626,1.2331,0.308274,-1.31251,-0.98257,-0.245642
189,1.88,0.612879,1.49493,0.373734,0.0914662,1.22316,0.30579,-1.31934,-1.00431,-0.251076
190,1.89,0.613728,1.50712,0.376779,0.0782407,1.21301,0.303253,-1.32567,-1.02562,-0.256406
191,1.9,0.614444,1.51919,0.379798,0.0649546,1.20265,0.300663,-1.33148,-1.04652,-0.26163
192,1.91,0.615027,1.53117,0.382792,0.0516128,1.19208,0.298021,-1.33678,-1.06699,-0.266748
193,1.92,0.615476,1.54303,0.385759,0.0382206,1.18131,0.295328,-1.34157,-1.08703,-0.271759
194,1.93,0.615791,1.55479,0.388698,0.0247832,1.17034,0.292586,-1.34584,-1.10665,-0.276662
195,1.94,0.615971,1.56644,0.39161,0.0113055,1.15918,0.289795,-1.34961,-1.12582,-0.281456
196,1.95,0.616017,1.57798,0.394494,-0.0022073,1.14783,0.286957,-1.35286,-1.14457,-0.286142
197,1.96,0.615927,1.5894,0.397349,-0.0157501,1.13629,0.284073,-1.35561,-1.16287,-0.290718
198,1.97,0.615702,1.6007,0.400175,-0.0293177,1.12457,0.281143,-1.35784,-1.18073,-0.295183
199,1.98,0.615341,1.61189,0.402972,-0.0429053,1.11268,0.278169,-1.35958,-1.19815,-0.299539
200,1.99,0.614844,1.62295,0.405739,-0.0565076,1.10061,0.275153,-1.3608,-1.21513,-0.303783
201,2,0.61421,1.6339,0.408475,-0.0701197,1.08838,0.272094,-1.36153,-1.23166,-0.307916
202,2.01,0.613441,1.64472,0.41118,-0.0837365,1.07598,0.268995,-1.36176,-1.24775,-0.311937
203,2.02,0.612536,1.65542,0.413855,-0.0973532,1.06342,0.265856,-1.36149,-1.26338,-0.315846
204,2.03,0.611494,1.66599,0.416497,-0.110965,1.05071,0.262678,-1.36072,-1.27857,-0.319643
205,2.04,0.610316,1.67643,0.419108,-0.124566,1.03785,0.259463,-1.35947,-1.29331,-0.323328
206,2.05,0.609003,1.68675,0.421686,-0.138152,1.02485,0.256212,-1.35772,-1.3076,-0.326901
207,2.06,0.607553,1.69693,0.424232,-0.151719,1.0117,0.252926,-1.35549,-1.32144,-0.330361
208,2.07,0.605969,1.70698,0.426745,-0.165261,0.998421,0.249605,-1.35278,-1.33483,-0.333708
209,2.08,0.604248,1.7169,0.429224,-0.178773,0.985008,0.246252,-1.34959,-1.34777,-0.336943
210,2.09,0.602393,1.72668,0.43167,-0.192251,0.971467,0.242867,-1.34593,-1.36026,-0.340066
211,2.1,0.600403,1.73633,0.434081,-0.20569,0.957804,0.239451,-1.34179,-1.37231,-0.343076
212,2.11,0.59828,1.74583,0.436459,-0.219085,0.944022,0.236006,-1.33719,-1.3839,-0.345975
213,2.12,0.596022,1.75521,0.438801,-0.232432,0.930127,0.232532,-1.33212,-1.39504,-0.348761
214,2.13,0.593631,1.76444,0.441109,-0.245726,0.916123,0.229031,-1.3266,-1.40574,-0.351435
215,2.14,0.591108,1.77353,0.443382,-0.258963,0.902014,0.225504,-1.32063,-1.41599,-0.353998
216,2.15,0.588452,1.78248,0.445619,-0.272137,0.887805,0.221951,-1.3142,-1.4258,-0.35645
217,2.16,0.585665,1.79128,0.447821,-0.285245,0.8735,0.218375,-1.30734,-1.43517,-0.358792
218,2.17,0.582747,1.79995,0.449987,-0.298282,0.859103,0.214776,-1.30003,-1.44409,-0.361022
219,2.18,0.5797,1.80847,0.452116,-0.311244,0.844619,0.211155,-1.29229,-1.45257,-0.363143
220,2.19,0.576523,1.81684,0.45421,-0.324127,0.830053,0.207513,-1.28413,-1.46062,-0.365155
221,2.2,0.573217,1.82507,0.456267,-0.336925,0.815408,0.203852,-1.27554,-1.46823,-0.367057
222,2.21,0.569784,1.83315,0.458287,-0.349636,0.80069,0.200172,-1.26653,-1.4754,-0.368851
223,2.22,0.566225,1.84108,0.46027,-0.362255,0.785902,0.196475,-1.25711,-1.48215,-0.370537
224,2.23,0.56254,1.84886,0.462216,-0.374777,0.771048,0.192762,-1.24729,-1.48846,-0.372116
225,2.24,0.55873,1.8565,0.464125,-0.387199,0.756134,0.189033,-1.23707,-1.49435,-0.373588
226,2.25,0.554796,1.86399,0.465997,-0.399517,0.741163,0.185291,-1.22645,-1.49982,-0.374955
227,2.26,0.55074,1.87132,0.467831,-0.411727,0.726139,0.181535,-1.21545,-1.50486,-0.376216
228,2.27,0.546562,1.87851,0.469627,-0.423825,0.711067,0.177767,-1.20406,-1.50949,-0.377373
229,2.28,0.542264,1.88554,0.471386,-0.435807,0.69595,0.173988,-1.1923,-1.5137,-0.378426
230,2.29,0.537846,1.89243,0.473107,-0.44767,0.680794,0.170198,-1.18018,-1.5175,-0.379376
231,2.3,0.533311,1.89916,0.47479,-0.459409,0.665602,0.1664,-1.16769,-1.5209,-0.380224
232,2.31,0.528658,1.90574,0.476435,-0.471022,0.650377,0.162594,-1.15485,-1.52388,-0.380971
233,2.32,0.523891,1.91217,0.478042,-0.482505,0.635125,0.158781,-1.14166,-1.52647,-0.381618
234,2.33,0.519009,1.91844,0.479611,-0.493854,0.619849,0.154962,-1.12813,-1.52866,-0.382165
235,2.34,0.514014,1.92456,0.481141,-0.505066,0.604553,0.151138,-1.11427,-1.53046,-0.382614
236,2.35,0.508908,1.93053,0.482633,-0.516138,0.589241,0.14731,-1.10008,-1.53186,-0.382965
237,2.36,0.503692,1.93635,0.484087,-0.527067,0.573917,0.143479,-1.08557,-1.53288,-0.38322
238,2.37,0.498367,1.94201,0.485503,-0.537849,0.558585,0.139646,-1.07074,-1.53352,-0.38338
239,2.38,0.492935,1.94752,0.48688,-0.548481,0.543248,0.135812,-1.05562,-1.53378,-0.383445
240,2.39,0.487398,1.95288,0.488219,-0.55896,0.527911,0.131978,-1.0402,-1.53367,-0.383417
241,2.4,0.481757,1.95808,0.48952,-0.569284,0.512576,0.128144,-1.02448,-1.53319,-0.383296
