timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
139363912,139363797,4259850,4325386,1.9776764e-05,4.7758407e-05,-3.452576e-05,-0.0011898249,-0.0015776053,-0.0427598,4630,4359,0,2
139864473,139864371,4259850,4325386,-0.00017544496,0.00035997946,-0.00013647774,-0.0021455616,-0.0024152931,-0.042760193,4463,4359,0,2
140365169,140365066,4259850,4325386,-0.00011090035,0.00017107875,0.00012825326,-0.0010011956,-0.0021364745,-0.039730757,4506,4354,0,2
140866385,140865761,4259850,4325386,-9.60209e-06,-0.00033132447,-0.00015727103,-0.0021774068,-0.0013093604,-0.057582937,4507,5829,0,2
141366750,141366456,4259850,4325386,-0.00035229378,0.00010727325,-6.6525113e-06,-0.0020447283,-0.0014096247,-0.042930413,4366,4361,0,2
141862745,141862642,4259850,4325386,-9.274535e-05,2.7931019e-05,-0.00018707741,-0.0020511767,-0.00070024724,-0.04011489,4513,4327,0,2
142363564,142363381,4259850,4325386,-0.00032106932,-8.681269e-05,-0.00017347973,-0.00263925,-0.00019873655,-0.06063992,4558,5855,0,2
142864203,142864037,4259850,4325386,0.00047455716,0.00012008811,-0.00042734575,-0.0042719487,-0.0035226396,-0.04010439,4473,4319,0,2
143364827,143364722,4259850,4325386,-0.00018010904,-0.0002603751,-0.0024236725,0.0001126581,-0.0027068653,-0.04025704,4289,4173,0,2
143865709,143865585,4259850,4325386,0.00076088426,0.00015522868,-0.0032613412,-0.0030933882,-0.0008137874,-0.043664522,4679,4316,0,2
144367793,144366116,4259850,4325386,-8.5827494e-05,7.828817e-05,-0.000533251,0.0005939522,0.0018563225,-0.038649857,4515,4161,0,2
144866990,144866854,4259850,4325386,4.5992376e-05,0.00025979735,0.00020643641,0.00017669916,-0.002599163,-0.040954072,4558,4280,0,2
145363143,145363038,4259850,4325386,-0.0013809755,0.0004341945,0.00030014385,-0.0010322973,-0.0006461668,-0.043547396,4359,4354,0,2
145864023,145863874,4259850,4325386,-0.00035490585,-0.00013384352,4.1690142e-05,-0.00032655444,0.0006042293,-0.06178283,4651,5966,0,2
146364492,146364380,4259850,4325386,-0.0004588948,6.99118e-05,7.101354e-05,-0.0037961826,0.003128633,-0.041620098,4511,4352,0,2
146865176,146865074,4259850,4325386,0.0010041686,-0.0008792533,9.05321e-05,-0.0040998757,-0.002115333,-0.04085437,4503,4329,0,2
147365874,147365769,4259850,4325386,-0.0010123269,0.00064720056,-0.00024797278,-0.0034424171,0.00087134284,-0.04021108,4509,4358,0,2
147866653,147866512,4259850,4325386,0.0010521513,-0.0009031842,0.0001096909,0.003466886,0.0033609285,-0.046422485,4355,4267,0,2
148367474,148367357,4259850,4325386,-0.0016844519,0.00021279215,0.00032509514,0.0013934312,0.0037900095,-0.044672865,4663,4362,0,2
148869723,148867852,4259850,4325386,0.0002628039,7.4770454e-05,0.0001239152,-0.0016733928,-0.0050972975,-0.042690683,4510,4363,0,2
149364408,149364036,4259850,4325386,0.0008900526,-0.00022856415,3.867625e-05,-0.0010720863,-0.007924178,-0.059393264,4509,5814,0,2
149864845,149864730,4259850,4325386,0.00016408383,1.40825805e-05,4.2215128e-05,-0.0018856359,-0.0020418472,-0.042922296,4282,4376,0,2
150365755,150365649,4259850,4325386,-0.0004938787,-0.00012923928,0.00011756517,-0.0032221216,0.0009130967,-0.04493958,4735,4358,0,2
150866274,150866171,4259850,4325386,0.00059738173,2.065917e-05,2.8118882e-05,-0.00039218715,-0.00542036,-0.04168977,4564,4370,0,2
151366919,151366813,4259850,4325386,0.00021281486,9.200329e-05,0.00025048357,-0.0023385081,0.00048009958,-0.043225303,4465,4358,0,2
151867661,151867545,4259850,4325386,-0.0016119262,0.0003671013,-7.490678e-05,-0.005712885,0.001204362,-0.043873943,4549,4424,0,2
152364056,152363940,4259850,4325386,0.00048279724,4.3078948e-05,9.019962e-05,-0.0010107307,-0.0034232142,-0.0429985,4761,4359,0,2
152864484,152864382,4259850,4325386,-0.0007738063,0.00035984186,3.0186424e-05,-0.0024118072,0.0030902503,-0.03931355,4510,4092,0,2
153365179,153365076,4259850,4325386,-0.00034926744,0.0001369686,0.00048344128,-0.0030039744,0.002301861,-0.0463111,4497,4361,0,2
153866121,153865818,4259850,4325386,0.0010365894,0.00019512944,0.00032522023,-0.001762226,0.0007446209,-0.041204933,4554,4360,0,2
