timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
111884131,0.0014874951,-0.001116275,-0.0008707927,5012,0,-0.26572865,-0.30119395,-9.773569,5012,0
111889126,5.816896e-06,-0.0011239133,-0.000764486,4995,0,-0.27600998,-0.30883625,-9.774856,4995,0
111894124,-0.0007664284,-0.00058871286,-0.0015225301,4998,0,-0.26692876,-0.29865858,-9.783128,4998,0
111899127,0.0009248871,-0.0012891262,-0.001938318,5003,0,-0.27887496,-0.29788008,-9.803106,5003,0
111904132,0.000911874,-0.001980792,0.00046312637,5005,0,-0.28534532,-0.30872205,-9.779687,5005,0
111909133,-0.0006641295,-0.0009997665,0.00085893646,5001,0,-0.29103315,-0.29217023,-9.790894,5001,0
111914133,0.0013104125,-0.00086288294,-0.0013156199,5000,0,-0.27920076,-0.28759846,-9.780635,5000,0
111919134,0.00171785,-4.8250316e-05,-0.0007114564,5001,0,-0.28650445,-0.3288394,-9.795336,5001,0
111924139,0.00017187948,-0.00052572077,-0.00014273485,5005,0,-0.270183,-0.29747385,-9.799331,5005,0
111929141,0.00060103246,-0.0009070622,-0.0010708059,5002,0,-0.27203354,-0.28494596,-9.776362,5002,0
111934145,0.001676167,0.00013686171,0.0014088991,5004,0,-0.27059135,-0.3098513,-9.803885,5004,0
111939141,0.0004616928,0.00033566647,-0.0019163792,4996,0,-0.25225332,-0.28413203,-9.766971,4996,0
111944145,0.00161337,-0.0014066931,-0.0011119104,5004,0,-0.2677314,-0.3169395,-9.780997,5004,0
111949148,0.00089872617,-0.0010033768,-0.00076311047,5003,0,-0.25693804,-0.2970252,-9.776573,5003,0
111954149,0.00070767564,0.0015161633,-0.00031044317,5001,0,-0.25034493,-0.3047469,-9.782364,5001,0
111959161,0.0015851966,-0.00028821954,0.0017714077,5012,0,-0.25629574,-0.31934348,-9.8066225,5012,0
111964151,0.00034429613,0.00028693996,0.0008947494,4990,0,-0.2667074,-0.3072725,-9.798163,4990,0
111969157,0.0011020029,-0.00036306307,4.6921938e-05,5006,0,-0.2727304,-0.2898356,-9.771486,5006,0
111974165,0.00042842416,-0.00047804535,-0.0010322907,5008,0,-0.26186705,-0.27224863,-9.766251,5008,0
111979161,0.0017938036,-0.00041548748,-0.0012401958,4996,0,-0.25988123,-0.31142595,-9.783489,4996,0
111984161,0.001938926,-0.00030512857,-0.0020695645,5000,0,-0.2634686,-0.2863651,-9.773913,5000,0
111989162,0.0010442769,-0.00094299106,-0.0020404917,5001,0,-0.26670286,-0.3108195,-9.775994,5001,0
111994166,0.00043744934,-0.0003432771,-0.0006242352,5004,0,-0.2506612,-0.30285424,-9.778977,5004,0
111999168,0.0005056465,-0.0008540605,-0.0006138195,5002,0,-0.2842676,-0.28815678,-9.782105,5002,0
112004167,-0.00048835133,0.00028148582,5.4206586e-05,4999,0,-0.27720723,-0.31597942,-9.792146,4999,0
112009168,0.0008634699,-0.0010793239,-0.0012822304,5001,0,-0.2514463,-0.31096894,-9.765935,5001,0
112014196,0.0003657664,-0.0022113111,0.0011477476,5028,0,-0.26110905,-0.30221292,-9.779661,5028,0
112019172,0.0006546369,0.00021890903,-0.0006900375,4976,0,-0.27555645,-0.29176062,-9.791923,4976,0
112024176,0.00017676433,-0.00075769343,-0.00076440343,5004,0,-0.2689957,-0.31246588,-9.779768,5004,0
112029178,-0.0012260927,0.000300463,-0.00017669525,5002,0,-0.26434627,-0.31808215,-9.79063,5002,0
112034182,-3.4383673e-05,-0.00056522235,-0.00057851535,5004,0,-0.263028,-0.27595553,-9.790979,5004,0
112039181,0.0012237163,-0.0013955921,0.0017834902,4999,0,-0.256684,-0.30439705,-9.777284,4999,0
112044185,0.0009755506,0.00034828245,0.0018568409,5004,0,-0.25619265,-0.3073917,-9.784619,5004,0
112049184,0.0013821751,-0.0009973315,-0.00055122445,4999,0,-0.26838705,-0.2757982,-9.769613,4999,0
112054203,0.00059367757,-0.00018793283,-0.00012017021,5019,0,-0.27801147,-0.31942472,-9.785163,5019,0
112059189,-0.00046654468,-0.00051906676,-0.0017997696,4986,0,-0.25636548,-0.29441008,-9.773045,4986,0
112064191,0.0004194007,-0.00026330317,0.0001649989,5002,0,-0.27983665,-0.30621082,-9.801239,5002,0
