timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
2182546685,4.979004,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2183046682,4.9838376,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2183556684,4.9193845,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2184056720,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2184546713,5.0015626,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2185046684,4.980615,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2185546690,4.9870605,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2186046754,4.9822264,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2186546972,4.916162,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2187057056,4.9741697,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2187556683,5.009619,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2188046725,4.9338865,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2188546682,4.980615,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2189046684,4.9838376,3.319336,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2189546768,4.916162,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2190046713,4.9822264,3.3128905,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2190556685,4.988672,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2191046896,5.0063963,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2191546689,4.9129395,3.3241699,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2192046692,4.979004,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2192546685,4.9193845,3.319336,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2193046744,5.003174,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2193546736,4.979004,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2194056707,4.9129395,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2194556689,4.979004,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2195046787,4.980615,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2195546756,4.9854493,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2196046740,5.0080075,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2196547045,5.009619,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2197057320,4.9193845,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2197556997,4.9773927,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2198057210,5.003174,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2198546687,4.9854493,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2199046689,5.009619,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2199546689,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2200046682,4.9838376,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2200547063,5.009619,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2201056712,4.9838376,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2201546711,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2202046683,4.9773927,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2202546687,4.993506,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2203046718,4.980615,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2203546906,4.9129395,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2204047502,5.0063963,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2204556917,4.979004,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2205056685,4.9822264,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2205546688,4.980615,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2206047075,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2206546961,5.0063963,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2207057011,4.9741697,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2207557510,4.980615,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2208057766,5.003174,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2208557693,4.9822264,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2209046682,5.0112305,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2209546693,5.004785,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2210046684,5.0015626,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2210546681,4.980615,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2211046685,4.9354978,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2211556766,4.9838376,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2212046710,4.9838376,3.319336,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2212546680,4.9854493,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2213046799,4.979004,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2213546920,4.980615,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2214046684,4.929053,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2214546858,5.0015626,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2215056681,4.9870605,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2215556695,5.0063963,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2216046682,5.0015626,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2216546687,4.9822264,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2217057417,4.9773927,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2217556728,5.009619,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2218056841,4.9838376,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2218557361,4.9822264,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2219057205,5.0080075,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2219547496,4.9838376,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2220047203,4.9387207,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2220546711,4.9918942,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2221046737,5.003174,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2221546688,4.916162,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2222056684,4.993506,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2222556692,4.979004,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2223046686,4.9371095,3.3128905,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2223546711,5.0063963,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2224046683,4.9822264,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2224546683,4.911328,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2225046684,5.009619,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2225556836,4.980615,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2226056706,4.9773927,3.3112793,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2226546701,5.0015626,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2227046712,5.009619,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2227546698,4.914551,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2228046690,5.017676,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2228546907,4.9854493,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2229056717,4.9129395,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2229556790,4.980615,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2230046841,5.003174,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2230547282,4.980615,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2231047329,5.004785,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2231547571,4.979004,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2232046698,4.9838376,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2232556729,4.980615,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2233056741,4.980615,3.325781,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2233546683,5.0063963,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2234046730,4.9097166,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2234546690,4.9854493,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2235046684,5.003174,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2235546684,4.979004,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2236056682,4.9870605,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
