timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
285050985,285049901,1.3184226e-10,8.247261e-06,0.00022376806,0.00015482819,0.000639168,0.0007860245,67129363,0,0.042866714,0.029279238,0.019736733,nan,0.009086399,0.0016118912,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
285250812,285249950,1.3330922e-10,8.3538725e-06,0.00021763239,0.00027984695,0.0006154096,0.0007697661,67129363,0,0.04454956,0.030347055,0.03183939,nan,0.008878795,0.0015110396,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
285450818,285449999,1.3928934e-10,8.524049e-06,0.00021943536,0.00021078144,0.00073021365,0.0008863786,67129363,0,0.044087082,0.030055225,0.067381784,nan,0.008862321,0.0014307783,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
285650922,285650045,1.4037493e-10,8.656145e-06,0.00022521015,0.00015961363,0.000857836,0.0010139459,67129363,0,0.043642987,0.029774185,0.059338465,nan,0.008966122,0.0011525949,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
285850901,285850095,1.483411e-10,9.02343e-06,0.00021826837,0.00016170704,0.000926759,0.0010812628,67129363,0,0.043215796,0.029503165,0.023797419,nan,0.008968611,0.0007052838,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
286051249,286050144,1.4338154e-10,8.846708e-06,0.00021675587,0.00016468747,0.00088797417,0.0010392494,67129363,0,0.04284607,0.029266464,0.006552748,nan,0.009393125,0.0002806712,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
286251051,286250203,1.4087613e-10,8.528198e-06,0.00018806155,0.0003276034,0.00061886135,0.0007872717,67129363,0,0.04444299,0.030283494,0.07037916,nan,0.009815599,0.000120434015,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
286451143,286450239,1.3745091e-10,8.362496e-06,0.00020322308,0.00016778446,0.00057357387,0.0007214472,67129363,0,0.044016976,0.030012196,0.02127527,nan,0.010304724,0.0004930908,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
286651163,286650309,1.3534009e-10,8.174285e-06,0.00019835518,0.00023701074,0.00067121605,0.00078954856,67129363,0,0.043638106,0.029770069,0.023023643,nan,0.010836697,0.00071753823,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
286851057,286850338,1.3090133e-10,8.122347e-06,0.00020550855,0.00027991273,0.0008754828,0.00097335776,67129363,0,0.043216787,0.029503213,0.02342374,nan,0.011043502,0.0010457403,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
287051316,287050385,1.3667438e-10,8.185274e-06,0.00020992031,0.00027222908,0.0010204582,0.001122139,67129363,0,0.04284914,0.02926822,0.02918042,nan,0.01124875,0.0012838875,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
287251566,287250435,1.3202454e-10,8.076573e-06,0.00019213052,0.00020061292,0.0011406633,0.0012394536,67129363,0,0.042482395,0.029033994,0.0117364535,nan,0.011123127,0.0013497542,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
287451221,287450483,1.2991955e-10,8.1377675e-06,0.00019831616,0.00043341334,0.00067907985,0.00085196516,67129363,0,0.04411801,0.030074487,0.006303219,nan,0.011146047,0.0014086289,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
287651447,287650531,1.3079718e-10,8.09981e-06,0.00019118401,0.00036739119,0.0007394316,0.00089104637,67129363,0,0.04370166,0.02981088,0.011089428,nan,0.011138795,0.0013569035,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
287851385,287850580,1.3101369e-10,8.298568e-06,0.00020717813,0.0002199923,0.0007779327,0.00090019836,67129363,0,0.04329308,0.029551685,0.0322966,nan,0.010974082,0.0013702239,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
288051579,288050631,1.3131705e-10,8.423459e-06,0.00020143414,0.0002014798,0.00078302354,0.0008715514,67129363,0,0.0428943,0.02929805,0.010336569,nan,0.010951382,0.0013763151,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
