timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
133429111,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133531849,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133637227,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133699408,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133804454,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
133931546,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
134014496,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
134101649,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
134209531,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
134337298,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
134403619,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
134527400,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
134611826,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
134737480,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
134777904,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
134927464,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
135038947,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
135126234,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
135188467,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
135337750,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
135403506,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
135529055,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
135613516,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
135736404,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
135823891,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
135927576,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
136031906,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
136113547,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
136238640,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
136320049,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
136405487,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
136536468,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
136643747,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
136730016,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
136835025,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
136923406,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
137026535,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
137108392,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
137233793,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
137338413,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
137378908,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
137463951,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
137635320,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
137722201,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
137829308,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
137935363,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
138024224,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
138110218,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
138213970,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
138340240,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
138429230,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
138523387,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
138623660,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
138705454,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
138789366,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
138935520,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
139024711,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
139130444,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
139215405,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
139319208,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
139425863,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
139536929,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
139634770,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
139699228,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
139806545,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
139935599,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
139978303,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
140104393,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
140193388,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
140318982,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
140422902,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
140527186,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
140629592,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
140739119,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
140823547,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
140933092,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
141014729,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
141141027,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
141227247,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
141289687,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
141437453,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
141539499,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
141605792,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
141709169,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
141834166,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
141898919,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
141943104,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
142128729,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
142234782,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
142323737,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
142431050,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
142536113,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
142624299,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
142727452,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
142813133,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
142940007,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
143004798,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
143128900,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
143213189,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
143339900,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
143424474,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
143508236,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
143633306,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
143739949,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
143823641,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
143933333,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
144039537,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
144126260,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
144209100,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
144316264,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
144424811,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
144529138,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
144634658,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
144740145,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
144803865,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
144929732,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
145018257,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
145121686,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
145229943,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
145336478,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
145423768,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
145525251,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
145638046,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
145735285,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
145836566,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
145923634,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
146030290,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
146138097,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
146223937,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
146309388,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
146439935,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
146526266,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
146630004,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
146715519,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
146824303,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
146933782,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
147021911,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
147084339,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
147186810,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
147335602,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
147441898,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
147503949,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
147631898,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
147682437,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
147766186,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
147937976,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
148025706,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
148129765,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
148195867,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
148344029,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
148406990,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
148535332,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
148620073,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
148728488,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
148835818,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
148917181,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
149025905,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
149132701,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
149220948,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
149327144,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
149430217,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
149537182,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
149620993,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
149727376,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
149835957,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
149937273,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
150041049,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
150108775,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
150235847,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
150341266,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
150408889,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
150535689,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
150641561,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
150734177,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
150831745,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
150914507,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
151040782,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
151126279,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
151234515,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
151340388,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
151425833,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
151529050,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
151634764,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
151717593,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
151826136,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
151929143,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
152017745,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
152122081,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
152227734,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
152338062,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
152441487,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
152525401,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
152631498,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
152716821,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
152822362,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
152930589,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
153012819,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
153120790,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
153227865,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
153311588,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
153438295,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
153521215,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
153628036,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
153736835,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
153839632,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
153905099,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
153968035,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
154074899,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
154202345,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
154328374,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
