timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
280743870,-0.005091895,-0.00014650518,-0.001325066,5000,0,-0.2522075,-0.28832737,-9.784581,5000,0
280748868,-0.005213873,0.0011705849,-0.0020265721,4998,0,-0.27836525,-0.3089008,-9.795745,4998,0
280753870,-0.004942683,0.0010107347,0.0010070591,5002,0,-0.2632943,-0.29005334,-9.794519,5002,0
280758870,-0.004060299,0.0008227656,0.0008732554,5000,0,-0.2620954,-0.29127103,-9.764657,5000,0
280763875,-0.0036941331,0.0005056721,-0.00097518973,5005,0,-0.2609434,-0.2586094,-9.795727,5005,0
280768875,-0.00532524,0.0028652658,1.526652e-06,5000,0,-0.26508763,-0.2672036,-9.789179,5000,0
280773876,-0.0049207583,0.000948267,-0.00072508806,5001,0,-0.25348562,-0.2643937,-9.807719,5001,0
280778875,-0.004637734,-0.0011831874,0.00012641451,4999,0,-0.2490514,-0.28104135,-9.784928,4999,0
280783878,-0.0039996775,2.3613738e-05,-0.00044355882,5003,0,-0.29108852,-0.2863512,-9.787037,5003,0
280788878,-0.00422918,-0.00037821327,0.0015632173,5000,0,-0.25861895,-0.27019185,-9.7741165,5000,0
280793882,-0.004349987,-0.0008512501,-0.00079143664,5004,0,-0.26225698,-0.28928548,-9.799839,5004,0
280798881,-0.005639464,-0.00025518463,0.0013601112,4999,0,-0.27331007,-0.27314383,-9.763852,4999,0
280803921,-0.0036259256,0.001529837,-0.0008924006,5040,0,-0.29126337,-0.27864006,-9.7868395,5040,0
280808882,-0.0046307375,0.0010712302,0.00024234927,4961,0,-0.2727214,-0.27210155,-9.752955,4961,0
280813892,-0.003290416,-0.0008563971,-0.0005692973,5010,0,-0.2557973,-0.27828416,-9.775904,5010,0
280818885,-0.0041531217,0.00061026437,-0.0012005242,4993,0,-0.25587296,-0.30176386,-9.792259,4993,0
280823886,-0.0035422868,-0.00095899607,0.0005181609,5001,0,-0.25691047,-0.278569,-9.781199,5001,0
280828930,-0.0047408566,0.0015039156,-0.00071038946,5044,0,-0.26150325,-0.2973405,-9.778313,5044,0
280833892,-0.0052197073,0.0009041688,0.0007495527,4962,0,-0.2598883,-0.28422055,-9.771022,4962,0
280838892,-0.0039533433,-3.248569e-05,0.0009289328,5000,0,-0.25218487,-0.2671815,-9.780923,5000,0
280843896,-0.003410275,0.0018035121,-0.00015816993,5004,0,-0.25732836,-0.28470653,-9.797941,5004,0
280848892,-0.0040387805,0.0006901577,-0.00057288574,4996,0,-0.27363274,-0.27803102,-9.810496,4996,0
280853896,-0.00366942,1.3190918e-05,-9.388639e-05,5004,0,-0.25305688,-0.27219856,-9.765913,5004,0
280858894,-0.0036612155,0.0008714441,0.00041210582,4998,0,-0.26932833,-0.26897904,-9.778173,4998,0
280863897,-0.0022240563,0.0005896207,0.0003409838,5003,0,-0.25113177,-0.29164162,-9.788504,5003,0
280868899,-0.0057650623,0.00067108497,-0.0006721123,5002,0,-0.25166383,-0.2943845,-9.774582,5002,0
280873897,-0.0056454716,-0.00033629237,-0.00067669444,4998,0,-0.26411498,-0.2780762,-9.77705,4998,0
280878901,-0.0050669955,0.0007788274,-0.0011365765,5004,0,-0.2533124,-0.28218186,-9.789904,5004,0
280883900,-0.00449483,1.1144839e-05,0.00037695345,4999,0,-0.29809937,-0.27348617,-9.767387,4999,0
