timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
319148321,319143299,4325386,0.003288904,0.0042253984,0.0063761137,0.34906584,1.8533417e-09,1.8560221e-09,3.3318581e-09,4259850,-0.028093731,0.13900593,-0.0153666,0.4,7.4622367e-06,7.4614168e-06,5.0281583e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
319297165,319296647,4325386,0.003260404,0.0041889404,0.006305652,0.34906584,1.8424187e-09,1.8450572e-09,3.3053797e-09,4259850,-0.027906224,0.13795765,-0.015294894,0.4,7.404826e-06,7.404002e-06,4.9898235e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
319423294,319422935,4325386,0.0032806087,0.0042164885,0.006336096,0.34906584,1.8552568e-09,1.8578986e-09,3.3308725e-09,4259850,-0.02813707,0.13897815,-0.015459483,0.4,7.458507e-06,7.4576633e-06,5.026331e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
319529466,319526670,4325386,0.0032509912,0.004182272,0.0062751435,0.34906584,1.8392324e-09,1.8418264e-09,3.3033982e-09,4259850,-0.027943127,0.13792913,-0.015577149,0.4,7.4005984e-06,7.3997476e-06,4.987615e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
319740118,319738829,4325386,0.0032676351,0.004213485,0.0063026254,0.34906584,1.8533897e-09,1.8559521e-09,3.3303964e-09,4259850,-0.028177591,0.13902664,-0.015807074,0.4,7.4564264e-06,7.455549e-06,5.0257427e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
319856813,319855970,4325386,0.003238777,0.004183863,0.006235719,0.34906584,1.8383745e-09,1.8408789e-09,3.3044896e-09,4259850,-0.02797133,0.13805005,-0.015537551,0.4,7.4021054e-06,7.4012223e-06,4.989387e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
320054968,320054370,4325386,0.0032064058,0.004158017,0.006172569,0.34906584,1.8246789e-09,1.8270819e-09,3.2817826e-09,4259850,-0.027761742,0.13712518,-0.015186908,0.4,7.3488673e-06,7.3479678e-06,4.953948e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
320244519,320243957,4325386,0.003220091,0.004192382,0.0061908527,0.34906584,1.841051e-09,1.8433761e-09,3.3075422e-09,4259850,-0.027968396,0.13822754,-0.015318106,0.4,7.4040736e-06,7.403145e-06,4.9915975e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
320361562,320361065,4325386,0.0032359497,0.0042232415,0.0062255524,0.34906584,1.8513501e-09,1.8536179e-09,3.3300704e-09,4259850,-0.028145026,0.13919583,-0.015676029,0.4,7.453244e-06,7.4522973e-06,5.025087e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
320560849,320559518,4325386,0.003199379,0.0041891835,0.0061398833,0.34906584,1.8336755e-09,1.8357876e-09,3.2994476e-09,4259850,-0.027884902,0.13801841,-0.015852943,0.4,7.386973e-06,7.386024e-06,4.9808614e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
320632039,320631678,4325386,0.0032208967,0.0042198333,0.0061773215,0.34906584,1.8496616e-09,1.8517567e-09,3.3238154e-09,4259850,-0.028083509,0.13901897,-0.015972719,0.4,7.4400505e-06,7.4390923e-06,5.0167423e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
320790520,320789538,4325386,0.0031918848,0.004191249,0.00610879,0.34906584,1.835506e-09,1.8374713e-09,3.298388e-09,4259850,-0.027865555,0.13802339,-0.015778424,0.4,7.3850442e-06,7.384086e-06,4.9799564e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
320853361,320852871,4325386,0.0032111632,0.0042226524,0.0061446135,0.34906584,1.8472098e-09,1.8491321e-09,3.3227665e-09,4259850,-0.028060082,0.13903746,-0.015817242,0.4,7.4380596e-06,7.437092e-06,5.0158515e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
321187406,321186692,4325386,0.003172031,0.004188607,0.0060503464,0.34906584,1.842102e-09,1.8438219e-09,3.2929157e-09,4259850,-0.027800657,0.13788351,-0.015661644,0.4,7.37321e-06,7.372245e-06,4.972417e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
321353802,321353316,4325386,0.003181789,0.004221829,0.0060693957,0.34906584,1.8454148e-09,1.8469662e-09,3.3160237e-09,4259850,-0.027953709,0.13886793,-0.01580481,0.4,7.421984e-06,7.421007e-06,5.0058184e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
321435133,321434552,4325386,0.003147632,0.0041860365,0.006004246,0.34906584,1.8273519e-09,1.8288083e-09,3.2867258e-09,4259850,-0.027688263,0.13765147,-0.015703714,0.4,7.3551373e-06,7.354168e-06,4.9609225e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
321549931,321547303,4325386,0.0031643591,0.0042169774,0.0060324795,0.34906584,1.8414105e-09,1.8427964e-09,3.3099137e-09,4259850,-0.027867036,0.13863392,-0.01585414,0.4,7.406037e-06,7.4050613e-06,4.995456e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
321633570,321633050,4325386,0.0031830329,0.004249087,0.0060627065,0.34906584,1.8536229e-09,1.8549439e-09,3.3329575e-09,4259850,-0.028051103,0.13964044,-0.016019339,0.4,7.4585937e-06,7.457611e-06,5.031084e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
321780036,321777278,4325386,0.0031514477,0.0042194217,0.0060006035,0.34906584,1.8370531e-09,1.8382245e-09,3.3062018e-09,4259850,-0.027796244,0.13854785,-0.016153526,0.4,7.398265e-06,7.397288e-06,4.9906826e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
321900394,321899055,4325386,0.003168551,0.0042508813,0.0060224775,0.34906584,1.849254e-09,1.8503296e-09,3.329949e-09,4259850,-0.027966028,0.13950531,-0.016500957,0.4,7.4481995e-06,7.447215e-06,5.024564e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
322025952,322025343,4325386,0.0031337924,0.0042119087,0.005946338,0.34906584,1.8318097e-09,1.8327689e-09,3.295328e-09,4259850,-0.027673904,0.13814986,-0.016591387,0.4,7.3748633e-06,7.3738875e-06,4.9752734e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
