timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
142966664,3932170,3932170,4259850,0,0,0.016341327,0.016341276,0.0,0.0,3932170,3932170,4325386,0,0,0.0012158784,0.0012158778,0.0,0.0,1,1,0,0,1,1,0,0
143166685,3932170,3932170,4259850,0,0,0.03607625,0.036076263,0.0,0.0,3932170,3932170,4325386,0,0,0.004488867,0.0044888677,0.0,0.0,1,1,0,0,1,1,0,0
143366740,3932170,3932170,4259850,0,0,0.038350776,0.03835079,0.0,0.0,3932170,3932170,4325386,0,0,0.006155287,0.006155287,0.0,0.0,1,1,0,0,1,1,0,0
143566823,3932170,3932170,4259850,0,0,0.048007928,0.048007987,0.0,0.0,3932170,3932170,4325386,0,0,0.0080063045,0.008006309,0.0,0.0,1,1,0,0,1,1,0,0
143766886,3932170,3932170,4259850,0,0,0.07200224,0.07200209,0.0,0.0,3932170,3932170,4325386,0,0,0.008848884,0.008848892,0.0,0.0,1,1,0,0,1,1,0,0
143962022,3932170,3932170,4259850,0,0,0.04709706,0.047097128,0.0,0.0,3932170,3932170,4325386,0,0,0.0028883808,0.0028883799,0.0,0.0,1,1,0,0,1,1,0,0
144167056,3932170,3932170,4259850,0,0,0.052647516,0.052647516,0.0,0.0,3932170,3932170,4325386,0,0,0.006740819,0.0067408183,0.0,0.0,1,1,0,0,1,1,0,0
144367132,3932170,3932170,4259850,0,0,0.06414475,0.06414479,0.0,0.0,3932170,3932170,4325386,0,0,0.0031580157,0.0031580168,0.0,0.0,1,1,0,0,1,1,0,0
144567216,3932170,3932170,4259850,0,0,0.06537226,0.065372266,0.0,0.0,3932170,3932170,4325386,0,0,0.0032468329,0.0032468324,0.0,0.0,1,1,0,0,1,1,0,0
144767290,3932170,3932170,4259850,0,0,0.04603288,0.046032943,0.0,0.0,3932170,3932170,4325386,0,0,0.0033281066,0.003328107,0.0,0.0,1,1,0,0,1,1,0,0
144967359,3932170,3932170,4259850,0,0,0.065600075,0.065600105,0.0,0.0,3932170,3932170,4325386,0,0,0.008763064,0.008763064,0.0,0.0,1,1,0,0,1,1,0,0
145162450,3932170,3932170,4259850,0,0,0.069727965,0.069727965,0.0,0.0,3932170,3932170,4325386,0,0,0.0041726246,0.0041726227,0.0,0.0,1,1,0,0,1,1,0,0
145362527,3932170,3932170,4259850,0,0,0.029659925,0.029659929,0.0,0.0,3932170,3932170,4325386,0,0,0.002520631,0.0025206313,0.0,0.0,1,1,0,0,1,1,0,0
145567653,3932170,3932170,4259850,0,0,0.03851782,0.038517863,0.0,0.0,3932170,3932170,4325386,0,0,0.0031714013,0.0031714004,0.0,0.0,1,1,0,0,1,1,0,0
145767734,3932170,3932170,4259850,0,0,0.045488443,0.045488425,0.0,0.0,3932170,3932170,4325386,0,0,0.003597501,0.0035974996,0.0,0.0,1,1,0,0,1,1,0,0
