timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
456546475,456545573,0,nan,nan,0.43132585,-0.019034652,-1.0687308,0.07670811,0.07319929,-1.3995703,-0.051057335,0.007529588,-0.04005395,-0.041500088,-0.00045844243,-0.00027825517,-0.026062105,0.43034184,-0.16260852,-0.1651259,1.3387942,-0.0016459217,nan,0.96748996,0.043927345,0.029995292,0.06567802,0.04276383,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,0,0
456646642,456645602,0,nan,nan,0.4280287,-0.017267387,-1.0727804,0.07670811,0.07319929,-1.3995703,-0.06747695,0.01397296,-0.032444872,-0.034198232,-0.00045844243,-0.00027825517,-0.026062105,0.5133471,-0.37332815,-0.38114092,1.3368115,-0.0016459217,nan,0.9715395,0.042652328,0.02918496,0.06450834,0.042098105,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,0,0
456746372,456745640,0,nan,nan,0.42478257,-0.016272085,-1.0767759,0.07670811,0.07319929,-1.3995703,-0.05279884,-0.004348282,-0.033519503,-0.03544979,-0.00045844243,-0.00027825517,-0.026062105,-0.39527243,0.22309935,0.117978886,1.3378586,-0.0016459217,nan,0.97553504,0.04348566,0.02971814,0.06525347,0.042536378,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,0,0
456846605,456845664,0,nan,nan,0.4210104,-0.015566672,-1.080202,0.07670811,0.07319929,-1.3995703,-0.046922885,-0.0045574717,-0.02658952,-0.028666174,-0.00045844243,-0.00027825517,-0.026062105,-0.8092049,-0.116103746,0.5831969,1.3399507,-0.0016459217,nan,0.9789611,0.044317357,0.030250352,0.06598341,0.042956762,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,0,0
456946623,456945694,0,nan,nan,0.41715553,-0.015670551,-1.0839063,0.07670811,0.07319929,-1.3995703,-0.05622377,-0.004945619,-0.03819824,-0.04048592,-0.00045844243,-0.00027825517,-0.026062105,0.2550414,0.44461846,-0.5763612,1.3396692,-0.0016459217,nan,0.9826654,0.04305864,0.029447896,0.06490301,0.042314306,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,0,0
457046580,457045726,0,nan,nan,0.4128581,-0.016193034,-1.0888113,0.07670811,0.07319929,-1.3995703,-0.055462684,-0.0076023154,-0.044187594,-0.046804897,-0.00045844243,-0.00027825517,-0.026062105,0.54920477,0.095281295,-0.20799838,1.3401165,-0.0016459217,nan,0.9875704,0.04391784,0.029994823,0.06568759,0.042762935,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,0,0
457146904,457145755,0,nan,nan,0.4083234,-0.016608633,-1.0935894,0.07670811,0.07319929,-1.3995703,-0.053481746,-0.0059546675,-0.03341918,-0.036558352,-0.00045844243,-0.00027825517,-0.026062105,-0.55960804,-0.11200445,0.15699968,1.3426368,-0.0016459217,nan,0.99234855,0.042648688,0.029184595,0.06459701,0.04209727,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,0,0
457246703,457245787,0,nan,nan,0.4033799,-0.017016903,-1.0979595,0.07670811,0.07319929,-1.3995703,-0.057842985,-0.0025414662,-0.03160747,-0.035454705,-0.00045844243,-0.00027825517,-0.026062105,-0.49655604,0.078810774,0.14691834,1.3437982,-0.0016459217,nan,0.99671865,0.043489758,0.029717803,0.06536835,0.04253551,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,0,0
457346650,457345815,0,nan,nan,0.39851594,-0.017545706,-1.1027898,0.07670811,0.07319929,-1.3995703,-0.05308833,-0.0056333784,-0.038350187,-0.04294188,-0.00045844243,-0.00027825517,-0.026062105,0.06984655,0.59878147,-0.22634718,1.3434266,-0.0016459217,nan,1.0015489,0.04437608,0.03027824,0.066166654,0.042993266,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,0,0
457446692,457445846,0,nan,nan,0.39327517,-0.018187976,-1.108263,0.07670811,0.07319929,-1.3995703,-0.043361623,-0.012783877,-0.03960136,-0.044949908,-0.00045844243,-0.00027825517,-0.026062105,0.3676808,0.08371087,-0.3774153,1.342429,-0.0016459217,nan,1.0070221,0.043109942,0.029470038,0.06505197,0.04233875,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,0,0
