timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
441180467,441177187,3932170,7997.867,7.810417,39.052086,117.15626,nan,nan,nan,nan,nan,nan,63.147476,nan,nan,nan,16.0,10.0,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,321.0,161.0,201.0
441244174,441240958,3932170,7997.867,7.810417,nan,nan,nan,nan,nan,nan,nan,nan,70.293755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,313.0,147.0,176.0
441275567,441273469,3932170,7997.867,7.810417,nan,nan,nan,nan,nan,nan,nan,nan,63.354816,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,317.0,156.0,150.0
441338203,441337236,3932170,7997.867,7.810417,140.58751,nan,nan,nan,171.82918,nan,nan,nan,78.10417,164.07362,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,323.0,164.0,175.0
441370494,441367244,3932170,7997.867,7.810417,46.807632,164.68289,nan,nan,171.82918,nan,nan,nan,78.10417,164.07362,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,307.0,164.0,175.0
441435569,441433514,3932170,7997.867,7.810417,nan,nan,nan,nan,149.06206,nan,nan,nan,54.67292,34.738884,85.91459,nan,nan,nan,nan,nan,10.0,nan,nan,nan,16.0,10.0,10.0,nan,322.0,167.0,192.0
441498209,441497283,3932170,7997.867,7.810417,54.67292,156.15347,nan,nan,63.147476,nan,nan,nan,39.052086,117.15626,nan,nan,16.0,10.0,nan,nan,10.0,nan,nan,nan,16.0,10.0,nan,nan,316.0,169.0,195.0
441534149,441529795,3932170,7997.867,7.810417,54.67292,nan,nan,nan,54.67292,nan,nan,nan,55.11141,85.25046,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,17.0,10.0,nan,nan,323.0,150.0,181.0
441597174,441593562,3932170,7997.867,7.810417,77.44004,nan,nan,nan,nan,nan,nan,nan,54.67292,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,320.0,156.0,193.0
441628487,441626072,3932170,7997.867,7.810417,nan,nan,nan,nan,39.052086,101.53542,nan,nan,71.01276,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,325.0,159.0,176.0
441691161,441688590,3932170,7997.867,7.810417,nan,nan,nan,nan,54.67292,93.725006,nan,nan,46.862503,70.61215,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,17.0,10.0,nan,nan,307.0,178.0,204.0
441724128,441721100,3932170,7997.867,7.810417,132.72223,nan,nan,nan,39.052086,nan,nan,nan,39.052086,115.34564,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,16.0,10.0,nan,nan,334.0,153.0,201.0
441789479,441786119,3932170,7997.867,7.810417,nan,nan,nan,nan,nan,nan,nan,nan,46.862503,171.11018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,309.0,144.0,161.0
441848083,441847389,3932170,7997.867,7.810417,54.67292,nan,nan,nan,140.98854,nan,nan,nan,46.862503,149.06206,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,275.0,162.0,166.0
441880804,441878647,3932170,7997.867,7.810417,155.5442,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,316.0,162.0,175.0
441948556,441946166,3932170,7997.867,7.810417,nan,nan,nan,nan,46.862503,nan,nan,nan,54.38848,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,17.0,nan,nan,nan,316.0,168.0,197.0
441979151,441977428,3932170,7997.867,7.810417,140.90591,nan,nan,nan,85.91459,nan,nan,nan,54.67292,139.86852,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,16.0,10.0,nan,nan,315.0,161.0,197.0
