timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
297650738,-0.0065877326,0.03151653,0.038887758,0.0
297853283,-0.009606424,0.033492412,0.0377152,0.0
298053327,-0.01147945,0.03511177,0.036640644,0.0
298252135,-0.013236488,0.036582444,0.035867125,0.0
298452198,-0.015022706,0.037994564,0.035338752,0.0
298650979,-0.016022285,0.039728794,0.034939487,0.0
298851032,-0.017385123,0.04058793,0.03460769,0.0
299049829,-0.018196441,0.041692745,0.03422935,0.0
299253649,-0.019366179,0.042739574,0.03381308,0.0
299452428,-0.020230168,0.04367621,0.03346168,0.0
299652481,-0.02094269,0.04414612,0.033182986,0.0
299851277,-0.021055045,0.044836532,0.03306044,0.0
300051344,-0.021880092,0.045384973,0.032806564,0.0
300251394,-0.022465376,0.045907155,0.032669038,0.0
300450178,-0.023119621,0.046535246,0.032442283,0.0
300652739,-0.024002492,0.04669156,0.03232154,0.0
300852780,-0.024886856,0.047454406,0.03214451,0.0
301052832,-0.025819955,0.047448657,0.03196669,0.0
301251637,-0.026731722,0.047467038,0.031925272,0.0
301451693,-0.027329708,0.047948558,0.031905785,0.0
301650479,-0.028081145,0.047424987,0.03187765,0.0
301850528,-0.026516685,0.045527592,0.032388445,0.0
302053085,-0.025598088,0.04407452,0.03314796,0.0
302253139,-0.017646676,0.036264103,0.035306744,0.0
302451933,-0.016889758,0.035062212,0.036906414,0.0
302651980,-0.019833952,0.036241725,0.037828572,0.0
302850784,-0.017533014,0.034893032,0.03846518,0.0
303050841,-0.017351909,0.034611136,0.039476324,0.0
303250894,-0.018629262,0.03574023,0.039637838,0.0
303453433,-0.016726699,0.033935707,0.04041935,0.0
303652230,-0.014763065,0.031651948,0.041505385,0.0
303852283,-0.015525176,0.032307416,0.041508228,0.0
304052333,-0.017600276,0.033871047,0.041038733,0.0
304251139,-0.018675411,0.03462037,0.040463865,0.0
304451195,-0.019255796,0.03638766,0.03996152,0.0
304649986,-0.02039982,0.037025254,0.039739087,0.0
304850036,-0.021046598,0.038260557,0.039487656,0.0
305052582,-0.022142425,0.038936265,0.039314553,0.0
305252647,-0.022360591,0.03900925,0.039272886,0.0
305451445,-0.022381077,0.04062202,0.039169293,0.0
305651486,-0.022894852,0.041168485,0.039174546,0.0
305850286,-0.022915978,0.041096862,0.03926687,0.0
306050356,-0.02402657,0.042665683,0.03945413,0.0
306252891,-0.024195254,0.043092594,0.03954494,0.0
306452942,-0.023256224,0.042500786,0.04004137,0.0
306651737,-0.024340797,0.04335846,0.040143106,0.0
306851788,-0.02443256,0.042739846,0.040279392,0.0
307051898,-0.02567037,0.04354648,0.0403571,0.0
307250654,-0.02594131,0.043694843,0.040533338,0.0
307450707,-0.026918937,0.043680836,0.040940385,0.0
307653240,-0.027048614,0.043640323,0.04152852,0.0
307853293,-0.026164802,0.043421056,0.04227314,0.0
308052092,-0.026654253,0.04416073,0.042778622,0.0
308252151,-0.027315417,0.044936087,0.043170772,0.0
308450942,-0.027821757,0.045117073,0.043456826,0.0
308651000,-0.027922628,0.04577207,0.043430053,0.0
308849794,-0.02876308,0.046052244,0.043271445,0.0
309053593,-0.028850565,0.046877183,0.042713072,0.0
309252399,-0.029167375,0.0476151,0.042377602,0.0
309452452,-0.028204432,0.04837995,0.042103443,0.0
309651252,-0.028803298,0.04845683,0.0420638,0.0
309851290,-0.029464222,0.04921398,0.041681908,0.0
310051372,-0.029190857,0.05002244,0.04124262,0.0
310250150,-0.029125787,0.05068431,0.04066241,0.0
310452701,-0.026771406,0.04962642,0.04036839,0.0
310652747,-0.027522925,0.05015377,0.040262487,0.0
310852798,-0.028415348,0.050342746,0.039566748,0.0
311051599,-0.023331117,0.050141238,0.039179094,0.0
311251672,-0.025490394,0.050946377,0.03922773,0.0
311450461,-0.026035847,0.05131536,0.038989525,0.0
311650499,-0.025667494,0.05226692,0.038984824,0.0
311853053,-0.025883295,0.051978506,0.038815837,0.0
312053099,-0.024532989,0.05359583,0.038455125,0.0
312252000,-0.024859445,0.053359203,0.03858695,0.0
312451948,-0.025149377,0.053330887,0.03898685,0.0
312650747,-0.024752844,0.054743264,0.039034847,0.0
312850799,-0.024524547,0.055166278,0.03908578,0.0
313050859,-0.024451923,0.055429377,0.03959002,0.0
313253410,-0.02569479,0.05561426,0.040125873,0.0
313452210,-0.025878094,0.05629501,0.039962888,0.0
313652255,-0.026411222,0.057419643,0.04004797,0.0
313853571,-0.026521899,0.057432715,0.03984698,0.0
314051128,-0.027023295,0.057283916,0.039860368,0.0
314251154,-0.026976166,0.057730652,0.039807927,0.0
314449951,-0.026465373,0.058287367,0.039813586,0.0
314653758,-0.026579047,0.058562994,0.03972663,0.0
314852556,-0.026852904,0.05881238,0.039559685,0.0
315053870,-0.027180538,0.058909576,0.03985991,0.0
315251406,-0.028534869,0.058782537,0.04017559,0.0
315451466,-0.025380706,0.055706076,0.040767275,0.0
315650268,-0.025724687,0.05578357,0.040835444,0.0
315850311,-0.023091713,0.054504193,0.04113312,0.0
316054120,-0.02008321,0.050622977,0.043097842,0.0
316252906,-0.020765902,0.0488634,0.044593852,0.0
316451711,-0.019810488,0.046940897,0.045770567,0.0
316651759,-0.019845316,0.047503278,0.04613755,0.0
316851812,-0.022848682,0.04904606,0.046173647,0.0
317050609,-0.023294983,0.050624363,0.045418132,0.0
317250667,-0.024968639,0.051517412,0.045133136,0.0
317453222,-0.026636576,0.051483996,0.04450018,0.0
317653269,-0.027322436,0.052566465,0.043335233,0.0
317852066,-0.029298892,0.053402673,0.042453412,0.0
318052166,-0.030175965,0.053208716,0.041813858,0.0
318250918,-0.031227104,0.053720377,0.041023377,0.0
318450964,-0.03221967,0.053657718,0.040289238,0.0
318651020,-0.033450074,0.05319212,0.03994702,0.0
318853561,-0.03389845,0.05305157,0.039739728,0.0
319052361,-0.03434133,0.053120125,0.039231848,0.0
319252411,-0.034360204,0.05260498,0.03940666,0.0
319451220,-0.034733534,0.052092925,0.03949957,0.0
319651269,-0.034506403,0.052919086,0.03928631,0.0
319851314,-0.035796992,0.05361758,0.03910924,0.0
320050156,-0.03660999,0.05436921,0.038866006,0.0
320252676,-0.0334495,0.051185917,0.03936254,0.0
320452715,-0.036165547,0.052585375,0.039269898,0.0
320652774,-0.036154285,0.05268689,0.039183166,0.0
320851564,-0.03660915,0.052815974,0.039284144,0.0
321051646,-0.037474375,0.053108305,0.03919656,0.0
321250420,-0.03824415,0.053573776,0.039218236,0.0
321450473,-0.038704656,0.053900417,0.039543618,0.0
321653014,-0.038906932,0.054248344,0.03959176,0.0
321850571,-0.039409515,0.054297816,0.03981436,0.0
322053124,-0.039447322,0.054496776,0.040230915,0.0
322251941,-0.03988009,0.054241337,0.040587258,0.0
322450730,-0.039584786,0.05475261,0.040960014,0.0
322650777,-0.039295122,0.054612286,0.04135019,0.0
322850834,-0.039808113,0.054077458,0.041792363,0.0
323049635,-0.0395198,0.05478844,0.042437833,0.0
323249673,-0.039435204,0.05527124,0.04281591,0.0
323452223,-0.038872793,0.05514794,0.043465227,0.0
