timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
116271849,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
116772774,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
117275791,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
117782803,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
118288731,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
118789701,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
119292764,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
119803105,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
120305702,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
120810823,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
121319759,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
121830896,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
122339824,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
122842698,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
123346816,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
123849892,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
124354698,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
124856448,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
125357711,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
125866698,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
126376741,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
126884729,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
127386826,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
127889783,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
128392703,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
128895160,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
129404735,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
129905326,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
130407946,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
130915918,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
131418699,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
131924750,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
132428737,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
132931706,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
133435765,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
133935970,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
134444561,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
134945443,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
135446697,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
135950727,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
136460697,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
136962743,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
137465764,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
137968700,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
138468821,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
138969730,1284739,0,0,0,270630956,270630924,271024143,15,1,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
139288007,1284739,0,139286864,0,270630956,270630924,271024143,15,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
139298886,1284739,0,139286864,0,270630956,270630924,271024143,15,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
139803573,1284739,0,139286864,0,270630956,270630924,271024143,15,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
140312768,1284739,0,139286864,0,270630956,270630924,271024143,15,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
140813838,1284739,0,139286864,0,270630956,270630924,271024143,15,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
141316898,1284739,0,139286864,0,270630956,270630924,271024143,15,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
141793870,141793865,0,139286864,0,270630956,270630924,271024143,14,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
142303563,141793865,0,139286864,0,270630956,270630924,271024143,14,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
142811991,141793865,0,139286864,142624113,270630956,270630924,271024143,14,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
143313918,141793865,0,139286864,142624113,270630956,270630924,271024143,14,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
143823847,141793865,0,139286864,142624113,270630956,270630924,271024143,14,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
144324705,141793865,0,139286864,142624113,270630956,270630924,271024143,14,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
144835046,141793865,0,139286864,142624113,270630956,270630924,271024143,14,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
145344732,141793865,0,139286864,142624113,270630956,270630924,271024143,14,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
145846757,141793865,0,139286864,142624113,270630956,270630924,271024143,14,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
146348864,141793865,0,139286864,142624113,270630956,270630924,271024143,14,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
